"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","SSC-A_Gain","SSC-H_Gain","FSC-A","FSC-H","SSC-A","SSC-H","Red_LaserDelay","Blue_LaserDelay","Violet_LaserDelay","yellow green_LaserDelay","Red_AreaScalingFactor","Blue_AreaScalingFactor","Violet_AreaScalingFactor","yellow green_AreaScalingFactor","R670-A_Gain","R730-A_Gain","R780-A_Gain","B530-A_Gain","B710-A_Gain","V450-A_Gain","V525-A_Gain","V610-A_Gain","V670-A_Gain","Y590-A_Gain","Y615-A_Gain","Y710-A_Gain","Y780-A_Gain","R670-A","R730-A","R780-A","B530-A","B710-A","V450-A","V525-A","V610-A","V670-A","Y590-A","Y615-A","Y710-A","Y780-A","FSC-W_Gain","SSC-W_Gain","R670-H_Gain","R730-H_Gain","R780-H_Gain","B530-H_Gain","B710-H_Gain","V450-H_Gain","V525-H_Gain","V610-H_Gain","V670-H_Gain","Y590-H_Gain","Y615-H_Gain","Y710-H_Gain","Y780-H_Gain","FSC-W","SSC-W","R670-H","R730-H","R780-H","B530-H","B710-H","V450-H","V525-H","V610-H","V670-H","Y590-H","Y615-H","Y710-H","Y780-H","Time_Gain"
"21-DEC-2018",2018-12-21 08:54:31,"2018-12-21","8H 54M 31S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,120190.6015625,64991.70703125,54627.16015625,65654.9375,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,5932.5302734375,5821.169921875,6055.2001953125,4856.97998046875,6968.22021484375,5721.64990234375,5928.69970703125,6545.81005859375,6198.3701171875,9433.5,8618,7942.5,6552,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,121219,54562,6156,6073,6361,4784,6853,5508,5754,6208,4981,9384,8541,7936,6565,NA
"20-DEC-2018",2018-12-20 08:51:38,"2018-12-20","8H 51M 38S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,124757.59375,64721.84765625,53690.91796875,64437.515625,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,5744.60986328125,5921.22021484375,6123.93017578125,4824.080078125,7097.93994140625,5812.5498046875,6013.5400390625,6705.39013671875,6398.35009765625,8731.5,7882.5,7488,6265,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,126312,54503,5844,6046,6292,4838,7078,5274,5520,5979,5018,8547,7700,7366,6182,NA
"19-DEC-2018",2018-12-19 09:03:52,"2018-12-19","9H 3M 52S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,121996.9375,65430.0078125,54790.720703125,65722.53515625,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,5826.8251953125,5954.2802734375,6236.16015625,4799.64013671875,7154.33984375,6292.2998046875,6748.31494140625,6967.98974609375,6526.6201171875,9460,8605,8254,6849,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,122031,54647.5,5715,5869,6173.5,4732.5,7026,5249,5767,5712,5190,9382,8534,8215,6838,NA
"18-DEC-2018",2018-12-18 15:12:34,"2018-12-18","15H 12M 34S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,127509.1640625,65112.14453125,54720.21875,65362.078125,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,5717.64013671875,5759.39990234375,6123.06005859375,4870.14013671875,7094.18017578125,6191.2998046875,6398.35009765625,6900.31982421875,6550.85986328125,9233.5,8304.5,7743,6520,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,128313,54840,5835,5912,6309,4813,6969,5453,5708,5951,4974,8971,8067,7547,6383,NA
"18-DEC-2018",2018-12-18 09:02:33,"2018-12-18","9H 2M 33S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,133134.359375,64967.1875,53735.5703125,63867.859375,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,7405.0048828125,6692.91015625,6575.4599609375,4923.25,6768.46997070312,7088.17993164062,7482.080078125,7809.31982421875,6878.10009765625,8096,7435.5,6043.75,4802,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,134520.5,55230.5,7623,6987,6884,4936.5,6718.5,6091,6544.5,6616,5605,7995,7289,6009.5,4784.5,NA
"17-DEC-2018",2018-12-17 08:31:41,"2018-12-17","8H 31M 41S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,134556.359375,65539.875,56312.111328125,64980.771484375,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,7719.94506835938,6867.34521484375,6760.77001953125,5101.84985351562,6943.77978515625,7112.92504882812,7561.86987304688,8019.90502929688,6820.53002929688,8443.5,7888.5,6364.5,4994.5,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,134429.5,57033,7992,7217,7164,5031,6785,6193.5,6627,6835,5516,8414,7772,6380.5,5009,NA
"14-DEC-2018",2018-12-14 09:08:51,"2018-12-14","9H 8M 51S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,135757.546875,65368.2578125,56527.83984375,64546.703125,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,6360.56982421875,5639.33984375,5673.27001953125,5141.7998046875,6946.60009765625,6727.60986328125,7161.91015625,7661.85986328125,6686.19970703125,8270.5,7615,6148.5,4880,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,136058,57300,6561,5872,5946,5104,6869,5754,6258,6448,5602,8233,7541,6141,4888,NA
"13-DEC-2018",2018-12-13 08:39:45,"2018-12-13","8H 39M 45S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,135266.96875,65775.484375,57231.8984375,65299.01953125,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,6690.2998046875,6031.7099609375,6088.26025390625,5094.7998046875,7052.81982421875,6442.7900390625,6859.919921875,7435.6201171875,6609.43994140625,8433,7743.5,6380,5052,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,134791,57539,6917,6296,6375,5025,6891,5519,5956,6268,5637,8388,7637,6368,5049,NA
"12-DEC-2018",2018-12-12 08:37:58,"2018-12-12","8H 37M 58S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,133905,65626.046875,56334.19921875,64951.9453125,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,7068.75,6365.7900390625,6447.56982421875,5139.919921875,7041.5400390625,6743.77001953125,7313.41015625,7573.98974609375,6699.330078125,8475.5,7834,6461.5,5130.5,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,133740,56882,7259,6588,6709,5085,6904,5656,6332,6268,5675,8417,7732,6436,5129,NA
"11-DEC-2018",2018-12-11 10:04:22,"2018-12-11","10H 4M 22S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,132438.765625,65443.2890625,55067.078125,64766.91015625,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,7662.08984375,7291.47021484375,7264.5,4989.52001953125,6902.419921875,7029.60009765625,7661.85986328125,7647.7197265625,6878.10009765625,8376,7765.5,6674.5,5228.5,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,132658,55896,7770,7443,7459,4956,6787,5834,6545,6303,5675,8259,7592,6598,5191,NA
"10-DEC-2018",2018-12-10 08:45:47,"2018-12-10","8H 45M 47S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,133293.1484375,65787.390625,56355.349609375,65168.16796875,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,7119.2099609375,6534.56982421875,6572.4150390625,5156.83984375,7210.73974609375,6614.99487304688,7296.23974609375,7588.1298828125,6850.830078125,8783.75,8113.25,6858,5454,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,132807,56636,7358.5,6786,6867,5091,7039,5532.5,6316,6238,5783.5,8780.5,8074,6885,5494.5,NA
"06-DEC-2018",2018-12-06 08:44:04,"2018-12-06","8H 44M 4S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,133560.5703125,65438.55859375,55291.73828125,64630.92578125,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,6768.60009765625,6322.2900390625,6466.27490234375,5060.02001953125,7159.51000976562,6829.6201171875,7459.85986328125,7712.86499023438,6804.3701171875,8482.5,7776,6681.5,5465.75,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,133865.5,56012.5,6997.5,6580,6772.5,5043.5,7037,5691,6419.5,6324.5,5709,8491,7739.5,6704.5,5504,NA
"05-DEC-2018",2018-12-05 08:58:07,"2018-12-05","8H 58M 7S","Unknown","LSRII","1","",570,570,242,242,134215.078125,64788.984375,53246.76953125,63567.361328125,62.63,0,26.89,43.25,0.87,0.94,1.01,0.5,450,464,390,444,471,420,388,500,406,625,641,525,400,7385.43017578125,7181.85009765625,7217.52001953125,4885.18017578125,7018.0400390625,6932.64013671875,7579.544921875,7837.09497070312,6967.48486328125,8193.5,7557.75,6562.5,5321.5,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,135828.5,54908,7640,7481.5,7561,4936,7001,5922,6629,6607,5719,8165,7461,6572,5342,NA
"04-DEC-2018",2018-12-04 09:03:36,"2018-12-04","9H 3M 36S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,133946.875,65520.33203125,55621.6796875,64663.19921875,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,7382.81982421875,6924.330078125,7111.3798828125,5078.81982421875,7248.33984375,7061.919921875,7754.77978515625,8075.9599609375,6937.68994140625,8495,7866.5,6702,5533.5,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,134009,56368,7617,7210,7431,5059,7135,6044,6781,6802,5605,8488,7807,6738,5573,NA
"03-DEC-2018",2018-12-03 08:57:48,"2018-12-03","8H 57M 48S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,135114.5,65544.21875,56481.78125,64994.171875,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,7681.22998046875,7797.81005859375,8047.5,5171.8798828125,7691.080078125,6412.48974609375,6878.10009765625,7501.27001953125,6704.3798828125,8465,7866.5,7259,6124.5,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,135139,56950,7976,8156,8449,5129,7557,6149,6665,7144,5422,8457,7789,7276,6160,NA
"29-NOV-2018",2018-11-29 08:30:30,"2018-11-29","8H 30M 30S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,126569.4609375,65106.279296875,50586.568359375,64124.44921875,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,471.540008544922,291.450012207031,268.829986572266,198.339996337891,263.200012207031,328.25,250.479995727539,333.299987792969,260.579986572266,273.5,293.25,325,235,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,127192.5,51576,437,312,288,202,273,248,215,211,250,288.5,277,340,242,NA
"28-NOV-2018",2018-11-28 09:44:56,"2018-11-28","9H 44M 56S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,131360.8125,64922.42578125,52953.01953125,63691.4453125,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,558.539978027344,371.489990234375,346.260009765625,220.899993896484,282,409.049987792969,336.329986572266,365.619995117188,316.130004882812,299.25,364,339.5,248,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,132379,54391,526,402,373,232,290,318,298,253,273,305,309,349,258,NA
"27-NOV-2018",2018-11-27 09:46:02,"2018-11-27","9H 46M 2S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,129067.04296875,64806.16796875,53094.490234375,63641.41796875,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,516.780029296875,314.505004882812,287.100006103516,204.919998168945,230.300003051758,408.040008544922,323.200012207031,339.359985351562,264.619995117188,261.25,320.5,284.5,200,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,130105,54566.5,483,330,302,214,249,311,287,230,235,276,272,301,220,NA
"26-NOV-2018",2018-11-26 15:41:10,"2018-11-26","15H 41M 10S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,136114.640625,65329.4765625,55141.33984375,64681.03515625,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,570.720031738281,365.399993896484,332.339996337891,241.580001831055,283.880004882812,400.970001220703,307.040008544922,348.449981689453,330.269989013672,321,398,323,233.5,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,136429,55740,515,379,357,238,287,335,298,267,274,326,334,330,235,NA
"19-NOV-2018",2018-11-19 08:41:25,"2018-11-19","8H 41M 25S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,26175.4658203125,63322.6015625,27454.580078125,64144.048828125,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,98.3099975585938,27.8400001525879,42.6300010681152,60.1599998474121,56.4000015258789,150.490005493164,64.6399993896484,143.419998168945,91.9099960327148,97.5,116.5,41.5,32,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,27297,28301,88,43,84,60,73,115,54,111,105,96,118,58,48,NA
"15-NOV-2018",2018-11-15 08:59:14,"2018-11-15","8H 59M 14S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,25837.7412109375,63419.875,27225.220703125,64285.111328125,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,106.139999389648,32.189998626709,50.4599990844727,58.2799987792969,59.6900005340576,142.410003662109,61.6100006103516,139.380004882812,101,101.75,120.5,45,35,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,26896.5,28024.5,101,46,93,62,76,111,56,106,98,108.5,126,59,42,NA
"13-NOV-2018",2018-11-13 09:46:30,"2018-11-13","9H 46M 30S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,26485.935546875,63463.740234375,28130.91015625,64350.357421875,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,110.48999786377,35.6700019836426,53.0699996948242,59.2200012207031,61.0999984741211,149.479995727539,64.6399993896484,132.309997558594,106.049995422363,101.25,135.5,45.5,35.5,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,27435,29013,96,46,97,66,77,119,63,106,111,102,129,50,50,NA
"12-NOV-2018",2018-11-12 08:50:27,"2018-11-12","8H 50M 27S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,25521.345703125,64938.845703125,27542.939453125,64223.875,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,108.75,32.189998626709,62.6399993896484,51.7000007629395,63.9199981689453,118.169998168945,57.5699996948242,121.199996948242,114.129997253418,100,116.5,44.5,39.5,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,26366.5,28360,93,44,94,62,76,79,47,87,108,104,122,49,43,NA
"09-NOV-2018",2018-11-09 09:07:47,"2018-11-09","9H 7M 47S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,111034.8984375,64876.876953125,54456.078125,64174.455078125,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,421.950012207031,220.979995727539,145.289993286133,178.600006103516,180.479995727539,405.010009765625,299.464996337891,295.929992675781,199.979995727539,209,230.25,250.25,155.25,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,108991.5,55363.5,374.5,180,141,177.5,172,313,269,197,156,234,215,258,136.5,NA
"07-NOV-2018",2018-11-07 08:58:41,"2018-11-07","8H 58M 41S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,25252.3505859375,64957.9296875,27712.140625,64504.462890625,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,109.620002746582,33.9300003051758,66.120002746582,47,57.3400001525879,106.049995422363,49.4899978637695,88.879997253418,111.099998474121,89.75,113.25,40.5,39,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,26370.5,28421,107,41,91,54,64,76,56,76,106,99,117,55,46,NA
"06-NOV-2018",2018-11-06 09:02:28,"2018-11-06","9H 2M 28S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,128952.09765625,65091.646484375,56606.330078125,64748.619140625,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,507.209991455078,331.470001220703,301.455001831055,203.039993286133,226.539993286133,394.910003662109,304.010009765625,282.799987792969,216.139999389648,231.25,279.25,304.5,226,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,124328,57073.5,465,356,293,213,225,357,313.5,226,182.5,257,246,315,250,NA
"05-NOV-2018",2018-11-05 09:05:30,"2018-11-05","9H 5M 30S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,132830.6015625,64997.138671875,57013.349609375,64785.87109375,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,487.200012207031,309.285003662109,283.619995117188,228.889999389648,249.569999694824,432.279998779297,336.834991455078,343.399993896484,251.489990234375,264.25,298,322.5,240.75,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,133551,57455,446,318,284,229,250,363,326,249,211,287,274,339,258,NA
"02-NOV-2018",2018-11-02 09:06:59,"2018-11-02","9H 6M 59S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,17323.91015625,62974.380859375,2621.65991210938,63563.357421875,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,28.7100009918213,12.1800003051758,27.4049997329712,21.6200008392334,24.9099998474121,29.2899990081787,18.1800003051758,30.2999992370605,44.439998626709,37.5,35,15.5,17,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,15967.5,2609,44,38,82,47,53,43,42,54,94,59,63,42,37,NA
"01-NOV-2018",2018-11-01 08:26:17,"2018-11-01","8H 26M 17S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,15423.9604492188,64338.4609375,916.970001220703,63928.376953125,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,22.6200008392334,10.4400005340576,23.4899997711182,18.7999992370605,20.6800003051758,23.2299995422363,15.1499996185303,24.2399997711182,40.4000015258789,33.25,29.5,13.5,15,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,13945,894,40,37,79,47,46,42,42,47,83,58,62,40,38,NA
"31-OCT-2018",2018-10-31 08:40:06,"2018-10-31","8H 40M 6S","Unknown","2.16.0","Unknown","Unknown",570,570,242,242,132436,65504.931640625,57559.490234375,65393.271484375,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,575.070007324219,388.890014648438,359.309997558594,260.380004882812,293.279998779297,464.600006103516,359.559997558594,380.769989013672,319.160003662109,324.5,389.25,357.5,270,570,242,450,464,390,444,471,420,388,500,406,625,641,525,400,132062.5,57472,535,402.5,382,258,297,357,319,278,282,331,334,367,282,NA
"30-OCT-2018",2018-10-30 09:12:45,"2018-10-30","9H 12M 45S","Unknown","LSRII","1","Administrator",570,570,260,260,106303.19140625,65038.263671875,60256.349609375,63724.609375,62.63,0,26.89,43.25,0.87,0.94,1.01,0.5,450,464,390,444,471,420,388,500,406,625,641,525,400,170.084999084473,60.0299987792969,101.790000915527,97.7600021362305,103.400001525879,402.989990234375,151.5,259.065002441406,186.849990844727,180.5,217.25,76,60.5,570,260,450,464,390,444,471,420,388,500,406,625,641,525,400,102630.5,60772,146,58,107,94,94,322,126,183,131.5,194,199,74,55,NA
"29-OCT-2018",2018-10-29 09:31:14,"2018-10-29","9H 31M 14S","Unknown","LSRII","1","Administrator",570,570,260,260,138262.640625,65143.982421875,97581.8671875,64524.859375,62.63,0,26.89,43.25,0.87,0.94,1.01,0.5,450,464,390,444,471,420,388,500,406,625,641,525,400,575.070007324219,380.625,352.350006103516,243.460006713867,292.339996337891,466.619995117188,363.600006103516,373.699981689453,319.160003662109,306.75,375.5,351.5,265.5,570,260,450,464,390,444,471,420,388,500,406,625,641,525,400,138813,98861.5,537,398,375,247,301,393,349,280,267,319,322,360,270,NA
"26-OCT-2018",2018-10-26 08:45:06,"2018-10-26","8H 45M 6S","Unknown","LSRII","1","Administrator",570,570,260,260,135582.9609375,65047.416015625,97053.1171875,64382.451171875,62.63,0,26.89,43.25,0.87,0.94,1.01,0.5,450,464,390,444,471,420,388,500,406,625,641,525,400,563.760009765625,368.880004882812,343.649993896484,241.580001831055,297.040008544922,454.5,353.5,385.820007324219,331.279998779297,310,368.75,351.5,260,570,260,450,464,390,444,471,420,388,500,406,625,641,525,400,136446.5,98539.5,527,395,375,247,302,345,305,265,282,324,324,357,264,NA
"25-OCT-2018",2018-10-25 08:48:40,"2018-10-25","8H 48M 40S","Unknown","2.16.0","Unknown","Unknown",570,570,260,260,134429.5625,64837.958984375,93615.5390625,64185.53515625,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,519.390014648438,344.519989013672,318.420013427734,218.080001831055,258.970001220703,439.350006103516,338.350006103516,351.480010986328,280.779998779297,272,324,318,235.5,570,260,450,464,390,444,471,420,388,500,406,625,641,525,400,135520.5,95134.5,484.5,362,334,225,266,342,295,244,247,286,279,326.5,246,NA
"24-OCT-2018",2018-10-24 08:59:20,"2018-10-24","8H 59M 20S","Unknown","2.16.0","Unknown","Unknown",570,570,260,260,134685.53125,65574.2265625,97963.0390625,65444.974609375,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,548.099975585938,354.959991455078,331.470001220703,237.81999206543,287.639984130859,455.005004882812,358.549987792969,389.859985351562,314.109985351562,302,346.5,350,262,570,260,450,464,390,444,471,420,388,500,406,625,641,525,400,134218.5,97642.5,506,370,352,240,288,343.5,305,261,279,310,316,357,270,NA
"23-OCT-2018",2018-10-23 08:55:10,"2018-10-23","8H 55M 10S","Unknown","2.16.0","Unknown","Unknown",570,570,260,260,135935.3046875,64881.177734375,99115.94921875,64668.25,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,557.669982910156,366.269989013672,340.170013427734,246.279998779297,298.920013427734,488.839996337891,388.850006103516,414.100006103516,337.339996337891,316.5,361.5,358.5,267,570,260,450,464,390,444,471,420,388,500,406,625,641,525,400,137075.5,100156.5,520,393,370,252,300,376,337,288,290,323,329,370,279,NA
"19-OCT-2018",2018-10-19 08:55:10,"2018-10-19","8H 55M 10S","Unknown","2.16.0","Unknown","Unknown",570,570,260,260,125885.31640625,65188.880859375,84959.55078125,64744.8125,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,412.380004882812,204.449996948242,168.345001220703,193.639999389648,208.679992675781,414.100006103516,290.880004882812,355.519989013672,234.31999206543,225.25,246.5,231,151,570,260,450,464,390,444,471,420,388,500,406,625,641,525,400,125409.5,85408.5,379,222,162,204,211,301,250,232,196,242.5,240,243,170,NA
"18-OCT-2018",2018-10-18 08:36:19,"2018-10-18","8H 36M 19S","Unknown","2.16.0","Unknown","Unknown",570,570,260,260,127817.65625,65447.865234375,95398.25,65722.18359375,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,504.600006103516,277.529998779297,230.550003051758,205.860000610352,219.960006713867,455.510009765625,359.559997558594,345.419982910156,256.540008544922,263,306.5,274.25,183,570,260,450,464,390,444,471,420,388,500,406,625,641,525,400,127225,94774.5,462,297.5,242,214,229,347,321,248,217,283,269,292,202,NA
"17-OCT-2018",2018-10-17 08:17:02,"2018-10-17","8H 17M 2S","Unknown","2.16.0","Unknown","Unknown",570,570,260,260,135793.8984375,64968.240234375,99927.171875,65310.716796875,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,550.710021972656,321.899993896484,281.880004882812,241.580001831055,263.200012207031,503.989990234375,400.970001220703,387.839996337891,317.139984130859,305,368.75,308.25,213.75,570,260,450,464,390,444,471,420,388,500,406,625,641,525,400,136820,100045,503,344,310,244,276,422,377,300,264,312.5,313,316,226,NA
"16-OCT-2018",2018-10-16 17:31:23,"2018-10-16","17H 31M 23S","Unknown","2.16.0","Unknown","Unknown",570,570,260,260,132670.6328125,64846.08984375,94194.58203125,64638.240234375,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,552.015014648438,335.385009765625,305.804992675781,235,267.899993896484,514.089965820312,398.949981689453,391.375,322.695007324219,311,387.5,307.25,216.25,570,260,450,464,390,444,471,420,388,500,406,625,641,525,400,133807.5,95078,500.5,345,314.5,254,285,453,414.5,327,291,319,314,320,223,NA
"16-OCT-2018",2018-10-16 08:50:38,"2018-10-16","8H 50M 38S","Unknown","2.16.0","Unknown","Unknown",570,570,260,260,134460.765625,64878.27734375,97991.77734375,64617.703125,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,554.700012207031,344.860015869141,319.059997558594,237.150009155273,275.279998779297,528.149963378906,416.849975585938,404.774978637695,325.5,301,350,341.75,254,570,260,450,464,390,444,471,420,388,500,406,625,641,525,400,135857,99163.5,516,362,345,241,289,451,403,315,263.5,312.5,308,351,265.5,NA
"15-OCT-2018",2018-10-15 09:50:27,"2018-10-15","9H 50M 27S","Unknown","2.16.0","Unknown","Unknown",570,570,260,260,138933.75,65417.087890625,99263.55078125,65213.46875,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,562.440002441406,360.339996337891,335.399993896484,239.940002441406,276.209991455078,512.399963378906,403.199981689453,388.499969482422,305.549987792969,299.5,362.75,337.5,247.5,570,260,450,464,390,444,471,420,388,500,406,625,641,525,400,139190,99538.5,518,381,357,249,281,443,396,304,249,312,313,344,264,NA
"12-OCT-2018",2018-10-12 08:43:54,"2018-10-12","8H 43M 54S","Unknown","2.16.0","Unknown","Unknown",570,570,260,260,137481.7265625,65388.205078125,100624.60546875,65262.767578125,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,597.700012207031,387,362.059997558594,246.449996948242,295.739990234375,548.099975585938,434.174987792969,417.899993896484,353.849975585938,325.5,401.75,360,268.5,570,260,450,464,390,444,471,420,388,500,406,625,641,525,400,137516,100851,566,418,394,261,306,496,439,344,295,332,333,369,272,NA
"11-OCT-2018",2018-10-11 09:07:50,"2018-10-11","9H 7M 50S","Unknown","2.16.0","Unknown","Unknown",570,570,260,260,26129.25,63629.673828125,36828.46484375,65041.5859375,NA,NA,NA,NA,NA,NA,NA,NA,450,464,390,444,471,420,388,500,406,625,641,525,400,67.9400024414062,24.0799999237061,41.2799987792969,39.060001373291,43.7099990844727,129.149993896484,47.2499961853027,89.2499923706055,74.5499954223633,67,78.5,30,26,570,260,450,464,390,444,471,420,388,500,406,625,641,525,400,26967.5,35306,63,31,94,57,63,113,55,87,96,76,89,49,34,NA
